Timestamp;Your Academic Stage;Peer pressure;Academic pressure from your home;Study Environment;What coping strategy you use as a student?;"""Do you have any bad habits like smoking,  drinking on a daily basis?""";What would you rate the academic  competition in your student life;Rate your academic stress index 
24/07/25 22.05;undergraduate;4;5;Noisy;Analyze the situation and handle it with intellect;No;3;5
24/07/25 22.05;undergraduate;3;4;Peaceful;Analyze the situation and handle it with intellect;No;3;3
24/07/25 22.06;undergraduate;1;1;Peaceful;Social support (friends, family);No;2;4
24/07/25 22.06;undergraduate;3;2;Peaceful;Analyze the situation and handle it with intellect;No;4;3
24/07/25 22.08;undergraduate;3;3;Peaceful;Analyze the situation and handle it with intellect;No;4;5
24/07/25 22.08;undergraduate;3;3;Peaceful;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.09;undergraduate;5;5;disrupted;Emotional breakdown (crying a lot);No;4;4
24/07/25 22.10;undergraduate;3;2;Peaceful;Social support (friends, family);No;3;3
24/07/25 22.11;undergraduate;2;2;Peaceful;Analyze the situation and handle it with intellect;No;2;2
24/07/25 22.11;undergraduate;2;2;Peaceful;Analyze the situation and handle it with intellect;No;4;2
24/07/25 22.12;undergraduate;3;2;disrupted;Emotional breakdown (crying a lot);No;3;5
24/07/25 22.12;undergraduate;4;5;Peaceful;Analyze the situation and handle it with intellect;No;3;3
24/07/25 22.12;undergraduate;2;3;Noisy;Emotional breakdown (crying a lot);No;2;2
24/07/25 22.12;undergraduate;2;3;disrupted;Analyze the situation and handle it with intellect;No;4;2
24/07/25 22.14;undergraduate;3;4;disrupted;Social support (friends, family);prefer not to say;3;4
24/07/25 22.15;undergraduate;5;5;Noisy;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.15;undergraduate;3;3;Peaceful;Analyze the situation and handle it with intellect;No;5;5
24/07/25 22.16;undergraduate;3;5;disrupted;Analyze the situation and handle it with intellect;No;5;4
24/07/25 22.16;undergraduate;3;3;Peaceful;Emotional breakdown (crying a lot);No;4;3
24/07/25 22.17;undergraduate;3;4;Peaceful;Social support (friends, family);No;4;3
24/07/25 22.18;undergraduate;4;3;Peaceful;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.18;undergraduate;3;3;Peaceful;Analyze the situation and handle it with intellect;No;4;3
24/07/25 22.18;undergraduate;3;3;Peaceful;Analyze the situation and handle it with intellect;No;4;3
24/07/25 22.18;undergraduate;5;1;disrupted;Analyze the situation and handle it with intellect;No;5;3
24/07/25 22.19;undergraduate;4;5;disrupted;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.19;undergraduate;4;3;Peaceful;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.19;undergraduate;4;5;disrupted;Analyze the situation and handle it with intellect;Yes;4;5
24/07/25 22.19;high school;3;4;disrupted;Analyze the situation and handle it with intellect;No;3;4
24/07/25 22.19;undergraduate;5;1;disrupted;Social support (friends, family);No;4;5
24/07/25 22.20;undergraduate;4;3;Peaceful;Analyze the situation and handle it with intellect;No;5;4
24/07/25 22.21;undergraduate;5;5;disrupted;Emotional breakdown (crying a lot);Yes;5;5
24/07/25 22.23;undergraduate;3;1;disrupted;Emotional breakdown (crying a lot);No;4;4
24/07/25 22.24;undergraduate;3;2;Peaceful;Emotional breakdown (crying a lot);No;4;3
24/07/25 22.24;undergraduate;1;1;Peaceful;Analyze the situation and handle it with intellect;prefer not to say;1;1
24/07/25 22.25;undergraduate;1;1;Peaceful;Social support (friends, family);prefer not to say;4;3
24/07/25 22.25;undergraduate;3;4;Noisy;Analyze the situation and handle it with intellect;No;5;4
24/07/25 22.25;undergraduate;4;5;disrupted;Emotional breakdown (crying a lot);Yes;2;3
24/07/25 22.28;undergraduate;1;4;Peaceful;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.29;undergraduate;3;4;Peaceful;Analyze the situation and handle it with intellect;No;3;4
24/07/25 22.30;undergraduate;3;2;Peaceful;Social support (friends, family);No;3;4
24/07/25 22.32;undergraduate;3;4;disrupted;Analyze the situation and handle it with intellect;No;5;5
24/07/25 22.32;post-graduate;3;5;Peaceful;Analyze the situation and handle it with intellect;No;3;3
24/07/25 22.32;undergraduate;3;5;Peaceful;Analyze the situation and handle it with intellect;No;4;5
24/07/25 22.33;undergraduate;5;4;disrupted;Emotional breakdown (crying a lot);No;5;5
24/07/25 22.34;undergraduate;4;2;Noisy;Analyze the situation and handle it with intellect;No;2;2
24/07/25 22.34;undergraduate;3;2;Peaceful;Analyze the situation and handle it with intellect;No;4;3
24/07/25 22.34;undergraduate;5;5;Noisy;Emotional breakdown (crying a lot);prefer not to say;4;5
24/07/25 22.38;undergraduate;2;4;Peaceful;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.39;undergraduate;3;4;Noisy;Emotional breakdown (crying a lot);Yes;4;5
24/07/25 22.41;undergraduate;2;3;disrupted;Social support (friends, family);No;2;3
24/07/25 22.42;undergraduate;3;3;Peaceful;Analyze the situation and handle it with intellect;No;4;3
24/07/25 22.42;undergraduate;4;4;Noisy;Analyze the situation and handle it with intellect;No;5;4
24/07/25 22.42;undergraduate;4;5;Peaceful;Analyze the situation and handle it with intellect;No;4;4
24/07/25 22.44;undergraduate;3;3;disrupted;Emotional breakdown (crying a lot);Yes;3;3
24/07/25 22.44;undergraduate;3;1;Noisy;Analyze the situation and handle it with intellect;Yes;4;4
24/07/25 23.01;undergraduate;3;2;Peaceful;Analyze the situation and handle it with intellect;No;5;4
